Age_BP,Temp_Delta
94.081,-3.74
94.155,-3.7
94.229,-3.63
94.304,-3.57
94.378,-3.56
94.453,-3.56
94.527,-3.54
94.602,-3.51
94.676,-3.48
94.751,-3.45
94.825,-3.45
94.9,-3.45
94.975,-3.49
95.049,-3.5
95.124,-3.47
95.199,-3.47
95.274,-3.5
95.35,-3.56
95.425,-3.58
95.5,-3.58
95.576,-3.62
95.651,-3.69
95.727,-3.73
95.803,-3.78
95.878,-3.82
95.954,-3.87
96.03,-3.94
96.107,-4.01
96.183,-4.09
96.259,-4.15
96.336,-4.14
96.412,-4.11
96.488,-4.09
96.565,-4.06
96.642,-3.98
96.718,-3.92
96.795,-3.91
96.872,-3.93
96.948,-3.96
97.025,-3.99
97.102,-3.97
97.179,-3.97
97.255,-3.89
97.332,-3.83
97.409,-3.82
97.485,-3.84
97.562,-3.77
97.638,-3.68
97.714,-3.58
97.791,-3.5
97.867,-3.51
97.943,-3.53
98.019,-3.6
98.094,-3.67
98.17,-3.69
98.245,-3.69
98.321,-3.72
98.396,-3.72
98.471,-3.66
98.546,-3.61
98.62,-3.56
98.695,-3.52
98.769,-3.48
98.843,-3.42
98.917,-3.36
98.991,-3.33
99.064,-3.28
99.137,-3.23
99.21,-3.21
99.283,-3.18
99.356,-3.14
99.428,-3.11
99.5,-3.08
99.572,-3.06
99.644,-3.05
99.715,-3.05
99.786,-3.06
99.857,-3.07
99.927,-3.06
99.997,-3.04
100.068,-3.04
100.137,-3.06
100.207,-3.05
100.277,-3.03
100.346,-3.01
100.415,-2.98
100.484,-2.9
100.553,-2.81
100.622,-2.74
100.69,-2.69
100.759,-2.65
100.827,-2.61
100.896,-2.53
100.964,-2.45
101.032,-2.38
101.1,-2.34
101.168,-2.32
101.236,-2.31
101.304,-2.3
101.372,-2.29
101.44,-2.26
101.508,-2.22
101.576,-2.24
101.644,-2.29
101.713,-2.32
101.781,-2.35
101.849,-2.4
101.918,-2.45
101.987,-2.49
102.055,-2.52
102.124,-2.55
102.194,-2.57
102.263,-2.58
102.332,-2.59
102.402,-2.64
102.472,-2.69
102.542,-2.73
102.612,-2.77
102.683,-2.84
102.754,-2.92
102.825,-3.05
102.896,-3.18
102.967,-3.32
103.039,-3.42
103.11,-3.47
103.182,-3.5
103.254,-3.54
103.327,-3.55
103.399,-3.5
103.472,-3.45
103.545,-3.43
103.618,-3.43
103.691,-3.4
103.765,-3.36
